nome,porcentagem_desconto,preço,tipo,plataforma,sistema
Resident Evil 0,0,Indisponivel,Padrão,pc,"steam,windows"
Euro Truck Simulator 2,-75%,"R$ 9,99",Padrão,pc,"steam,windows,linux"
Mario Kart™ 8 Deluxe,0,"R$ 299,00",Padrão,console,nintendo
SOULCALIBUR VI - Deluxe Edition,0,"R$ 259,90",Padrão,pc,"steam,windows"
Xbox - Cartão Presente Digital 100 Reais,0,"R$ 100,00",Padrão,"pc,console","windows,xbox"
Riot Points - Gift Card Digital 50 Reais,0,"R$ 50,00",Padrão,pc,"windows,mac"
R$100 PlayStation Store - Cartão Presente Digital,0,"R$ 100,00",Padrão,console,playstation
Nintendo - Gift Card Digital 300 Reais,0,"R$ 300,00",Padrão,console,nintendo
Darkest Dungeon,0,"R$ 45,99",Padrão,pc,"steam,windows,linux,mac"
Castlevania: Lords of Shadow 2,0,"R$ 72,99",Padrão,pc,"steam,windows"
Trailmakers,0,"R$ 47,49",Padrão,pc,"steam,windows"
Devil May Cry HD Collection,-68%,"R$ 21,99",Padrão,pc,"steam,windows"
Middle-earth: Shadow of Mordor - Game of the Year Edition,0,"R$ 89,99",Padrão,pc,"steam,windows,linux,mac"
Don't Starve Together,0,"R$ 27,99",Padrão,pc,"steam,windows,linux,mac"
Star Wars Empire at War - Gold Pack,0,Indisponivel,Padrão,pc,"steam,windows"
RESIDENT EVIL 2 / BIOHAZARD RE:2 - DELUXE EDITION,-76%,"R$ 25,99",Padrão,pc,"steam,windows"
Ni no Kuni II: Revenant Kingdom - The Prince's Edition,0,"R$ 219,90",Padrão,pc,"steam,windows"
WRC 10 FIA World Rally Championship,0,"R$ 109,99",Padrão,pc,"steam,windows"
Nintendo - Gift Card Digital 150 Reais,0,"R$ 150,00",Padrão,console,nintendo
Nintendo - Gift Card Digital 100 Reais,0,"R$ 100,00",Padrão,console,nintendo
Enter the Gungeon,0,"R$ 27,99",Padrão,pc,"steam,windows,linux,mac"
RESIDENT EVIL 7 biohazard Gold Edition,-75%,"R$ 20,99",Padrão,pc,"steam,windows"
Google Play R$30 - Gift Card Digital,0,"R$ 30,00",Padrão,mobile,android
The Legend of Heroes: Trails in the Sky the 3rd,0,"R$ 55,99",Padrão,pc,"steam,windows"
Resident Evil 6,-75%,"R$ 21,24",Padrão,pc,"steam,windows"
LEGO Harry Potter: Years 1- 4,0,"R$ 89,99",Padrão,pc,"steam,windows"
Mad Max,0,"R$ 89,99",Padrão,pc,"steam,windows,linux,mac"
Gift Card Digital Roblox R$25,0,"R$ 25,00",Padrão,"pc,mobile","windows,ios,android"
R$250 PlayStation Store - Cartão Presente Digital,0,"R$ 250,00",Padrão,console,playstation
Katana ZERO,0,"R$ 28,99",Padrão,pc,"steam,windows,mac"
R$50 PlayStation Store - Cartão Presente Digital,0,"R$ 50,00",Padrão,console,playstation
Sid Meier’s Civilization V: The Complete Edition,0,"R$ 99,99",Padrão,pc,"steam,mac"
Resident Evil 4 (2005),0,Indisponivel,Padrão,pc,"steam,windows"
Hotline Miami 2: Wrong Number,0,"R$ 24,99",Padrão,pc,"steam,windows,linux,mac"
The Legend of Heroes: Trails in The Sky,0,"R$ 36,99",Padrão,pc,"steam,windows"
RESIDENT EVIL 3,-76%,"R$ 30,49",Padrão,pc,"steam,windows"
Resident Evil HD REMASTER,-75%,"R$ 9,99",Padrão,pc,"steam,windows"
