,nome,porcentagem_desconto,preco,tipo,plataforma,sistema
387,pro cycling manager 2022,0,75.49,padrao,pc,"steam,windows"
388,super mombo quest,0,28.99,padrao,pc,"steam,windows"
389,dandy ace,0,29.99,padrao,pc,"steam,windows,mac"
390,naruto shippuden ultimate ninja storm legacy,0,217.99,padrao,pc,"steam,windows"
391,shovel knight pocket dungeon,0,37.99,padrao,pc,"steam,windows,mac"
392,conan exiles,0,99.49,padrao,pc,"steam,windows"
393,inscryption,0,49.99,padrao,pc,"steam,windows"
394,the swords of ditto,0,28.99,padrao,pc,"steam,windows,linux,mac"
395,code vein  deluxe edition,0,199.99,padrao,pc,"steam,windows"
396,enigma do medo  bundle do detetive,10,85.0,prevenda,pc,"steam,windows"
397,gato roboto,0,16.59,padrao,pc,"steam,windows"
398,monster hunter rise,0,139.9,padrao,pc,"steam,windows"
399,euro truck simulator 2  beyond the baltic sea,0,44.99,dlc,pc,"steam,windows,linux,mac"
400,rims racing,0,109.99,padrao,pc,"steam,windows"
401,urban trial freestyle,0,13.99,padrao,pc,"steam,windows"
402,alone in the dark anthology,0,27.99,padrao,pc,"steam,windows"
403,no mans sky,0,162.0,padrao,pc,"steam,windows"
404,far cry 6  gold edition,0,349.99,padrao,pc,windows
405,castlevania anniversary collection,0,119.0,padrao,pc,"steam,windows"
406,one piece burning blood  gold edition,0,219.9,padrao,pc,"steam,windows"
407,pokemon scarlet,0,299.0,padrao,console,nintendo
408,human fall flat,0,37.99,padrao,pc,"steam,windows,linux,mac"
409,back 4 blood ultimate,80,91.99,padrao,pc,"steam,windows"
410,indiana jones and the emperors tomb,0,12.39,padrao,pc,"steam,windows"
411,"star wars battlefront (classic, 2004)",0,20.69,padrao,pc,"steam,windows"
412,souldiers,0,45.99,padrao,pc,"steam,windows"
413,deaths door,0,49.95,padrao,pc,"steam,windows"
414,stellaris galaxy edition,0,134.99,padrao,pc,"steam,windows,linux,mac"
415,euro truck simulator 2 gold edition,0,64.99,padrao,pc,"steam,windows,linux,mac"
416,lego star wars the force awakens  season pass,94,2.0,dlc,pc,"steam,windows"
417,fifa 23  ultimate team  fifa points 2800,0,125.0,padrao,pc,windows
418,thehunter call of the wild  smoking barrels weapon pack,0,8.39,dlc,pc,"steam,windows"
419,thehunter call of the wild  tents  ground blinds,0,15.99,dlc,pc,"steam,windows"
420,scarlet nexus,75,49.97,padrao,pc,"steam,windows"
421,tokyo ghoulre [call to exist],0,159.9,padrao,pc,"steam,windows"
422,xbox game pass para console  3 meses,0,89.99,padrao,console,xbox
423,jurassic world evolution 2,0,109.99,padrao,pc,"steam,windows"
424,f.e.a.r. 2 project origin,94,3.5,padrao,pc,"steam,windows"
425,mortal kombat 11 ultimate,80,55.99,padrao,pc,"steam,windows"
426,ni no kuni ii revenant kingdom  the princes edition,85,32.98,padrao,pc,"steam,windows"
427,crypt of the necrodancer,0,27.99,padrao,pc,"steam,windows,linux,mac"
428,darkest dungeon color of madness,0,10.89,dlc,pc,"steam,windows,linux,mac"
429,arma 3,0,99.99,padrao,pc,"steam,windows"
430,far cry 6,0,249.99,padrao,pc,windows
431,batman arkham knight,85,13.49,padrao,pc,"steam,windows"
432,gift card digital roblox r$50,0,50.0,padrao,"pc,mobile","windows,ios,android"
433,moonlighter,85,5.69,padrao,pc,"steam,windows"
434,gift card digital roblox r$25,0,25.0,padrao,"pc,mobile","windows,ios,android"
435,mortal kombat x,90,8.99,padrao,pc,"steam,windows"
436,umbrella corps deluxe edition,0,54.99,padrao,pc,"steam,windows"
437,tom clancys ghost recon  wildlands,0,149.99,padrao,pc,windows
438,lego batman 3 beyond gotham  premium edition,94,8.0,padrao,pc,"steam,windows"
439,titan souls,0,24.99,padrao,pc,"steam,windows,mac"
440,euro truck simulator 2  cabin accessories,0,11.49,dlc,pc,"steam,windows,linux"
441,lego indiana jones the original adventures,0,37.99,padrao,pc,"steam,windows"
442,deadrising 4,0,69.99,padrao,pc,"steam,windows"
443,children of morta ancient spirits,0,10.89,dlc,pc,"steam,windows,linux,mac"
444,american truck simulator enchanted edition,0,115.26,padrao,pc,"steam,windows,linux,mac"
445,pure farming 2018  deluxe edition,90,3.99,padrao,pc,"steam,windows"
446,free fire  85 diamantes + 10 de bonus,0,3.0,padrao,mobile,"ios,android"
447,euro truck simulator 2  mighty griffin tuning pack,0,9.99,dlc,pc,"steam,windows,linux,mac"
448,lego marvel super heroes 2,90,8.99,padrao,pc,"steam,windows"
449,code vein,0,149.99,padrao,pc,"steam,windows"
450,lego marvels avengers season pass,95,1.49,dlc,pc,"steam,windows"
451,generation zero,0,69.0,padrao,pc,"steam,windows"
452,eastward,0,73.99,padrao,pc,"steam,windows,mac"
453,destiny 2 pacote de renegados,60,15.19,dlc,pc,"steam,windows"
454,children of morta paws and claws,0,4.49,dlc,pc,"steam,windows"
455,the walking dead the final season,0,71.5,padrao,pc,"steam,windows"
456,ys seven,0,45.99,padrao,pc,"steam,windows"
457,the dark pictures anthology  man of medan,50,39.95,padrao,pc,"steam,windows"
458,ys vi the ark of napishtim,0,36.99,padrao,pc,"steam,windows"
459,storyteller,0,39.99,padrao,pc,"steam,windows,mac"
460,crunchyroll mega fan  12 meses,0,199.99,padrao,"pc,mobile","windows,linux,mac,ios,android"
461,lego star wars the skywalker saga deluxe edition,60,99.99,padrao,pc,"steam,windows"
462,dying light the following  enhanced edition,70,22.49,padrao,pc,"steam,windows,linux,mac"
463,gauntlet slayer edition,80,17.99,padrao,pc,"steam,windows"
464,risk of rain 2,50,29.99,padrao,pc,"steam,windows"
465,ys i  ii chronicles+,0,27.99,padrao,pc,"steam,windows"
466,a plague tale innocence,0,129.9,padrao,pc,"steam,windows"
467,golf with your friends,67,12.53,padrao,pc,"steam,windows,linux,mac"
468,call of juarez 2 bound in blood,80,3.99,padrao,pc,"steam,windows"
469,google play r$15  gift card digital,0,15.0,padrao,mobile,android
470,tales of zestiria,0,90.99,padrao,pc,"steam,windows"
471,darksiders blade  whip franchise pack,0,148.55,padrao,pc,"steam,windows"
472,nba 2k23,0,299.9,padrao,pc,"steam,windows"
473,darksiders iii  deluxe edition,0,93.99,padrao,pc,"steam,windows"
474,euro truck simulator 2  wheel tuning pack,0,6.49,dlc,pc,"steam,windows,linux,mac"
475,american truck simulator  special transport,0,12.19,dlc,pc,"steam,windows"
476,euro truck simulator 2  prehistoric paint jobs pack,0,4.49,dlc,pc,"steam,windows,linux"
477,batman arkham knight  premium edition,85,26.99,padrao,pc,"steam,windows"
478,mortal kombat 11  aftermath,80,25.99,dlc,pc,"steam,windows"
479,the legend of zelda breath of the wild,0,299.0,padrao,console,nintendo
480,wolcen lords of mayhem,0,75.49,padrao,pc,"steam,windows"
481,the last of us  part i  digital deluxe edition,10,268.9,padrao,pc,"steam,windows"
482,mortal kombat x  premium edition,85,25.34,padrao,pc,"steam,windows"
483,dragon ball fighterz  fighterz pass 3,0,79.9,dlc,pc,"steam,windows"
484,thehunter call of the wild  vurhonga savanna,0,15.99,dlc,pc,"steam,windows"
485,assassins creed valhalla  complete edition,0,499.99,padrao,pc,windows
486,world war z aftermath  deluxe edition,0,94.49,padrao,pc,"steam,windows"
487,wrc 7 fia world rally championship,0,47.49,padrao,pc,"steam,windows"
488,horizon chase turbo  senna sempre,0,28.9,dlc,pc,"steam,windows"
489,900 avacoins  avakin life,0,2.69,padrao,mobile,"ios,android"
490,the messenger,0,37.99,padrao,pc,"steam,windows"
491,injustice 2  standard edition,90,22.99,padrao,pc,"steam,windows"
492,beat cop,85,4.19,padrao,pc,"steam,windows,linux,mac"
493,lost planet 3,0,45.99,padrao,pc,"steam,windows"
494,shadow warrior,0,69.99,padrao,pc,"steam,windows"
495,destroy all humans! 2 – reprobed dressed to skill edition,0,99.99,padrao,pc,"steam,windows"
496,heave ho,0,20.69,padrao,pc,"steam,windows"
497,tekken 7  originals edition,0,429.49,padrao,pc,"steam,windows"
498,back 4 blood deluxe,80,83.99,padrao,pc,"steam,windows"
499,batman  the enemy within  the telltale series,50,14.49,padrao,pc,"steam,windows"
500,handball 17,0,20.69,padrao,pc,"steam,windows"
501,state of decay  year one survival edition,0,37.99,padrao,pc,"steam,windows"
502,.hackg.u. last recode,0,129.9,padrao,pc,"steam,windows"
503,far cry 5,0,179.99,padrao,pc,windows
504,marvel vs. capcom infinite deluxe,0,129.99,padrao,pc,"steam,windows"
505,mega man legacy collection,0,29.99,padrao,pc,"steam,windows"
506,street fighter  30th anniversary,0,89.99,padrao,pc,"steam,windows"
507,darksiders warmastered edition,0,34.99,padrao,pc,"steam,windows"
508,lego star wars  the complete saga,0,37.99,padrao,pc,"steam,windows"
509,the walking dead,0,28.99,padrao,pc,"steam,windows,mac"
510,call of duty black ops (apenas p mac),0,71.99,padrao,pc,"steam,mac"
511,3.000 avacoins  avakin life,0,6.29,padrao,mobile,"ios,android"
512,lego dc supervillains season pass,90,4.99,dlc,pc,"steam,windows"
513,one piece pirate warriors 3  gold edition,0,103.98,padrao,pc,"steam,windows"
514,my hero ones justice 2,0,159.9,padrao,pc,"steam,windows"
515,far cry 6  deluxe edition,0,314.99,padrao,pc,windows
516,dragon ball xenoverse 2  super pass,0,100.0,dlc,pc,"steam,windows"
517,pacote black legends,85,71.99,pacote,pc,"steam,windows"
518,the legend of zelda breath of the wild expansion pass,0,99.0,dlc,console,nintendo
519,bionic commando rearmed,0,16.99,padrao,pc,"steam,windows"
520,naruto to boruto shinobi striker,0,139.9,padrao,pc,"steam,windows"
521,far cry new dawn  ultimate bundle,0,349.99,padrao,pc,windows
522,serious sam 4,0,75.49,padrao,pc,"steam,windows"
523,devolver bootleg,0,10.89,padrao,pc,"steam,windows"
524,lego marvel vingadores,90,8.99,padrao,pc,"steam,windows"
525,rocket knight,0,16.99,padrao,pc,"steam,windows"
526,inversion,0,34.99,padrao,pc,"steam,windows"
527,coromon,0,59.99,padrao,pc,"steam,windows,mac"
528,euro truck simulator 2  high power cargo pack,0,10.49,dlc,pc,"steam,windows,linux"
529,sid meiers civilization vi anthology,0,230.99,padrao,pc,"steam,windows,linux,mac"
530,euro truck simulator 2  flip paint designs,0,4.49,dlc,pc,"steam,windows,linux"
531,resident evil 7 biohazard,0,69.99,padrao,pc,"steam,windows"
532,captain tsubasa rise of new champions  deluxe,0,294.9,padrao,pc,"steam,windows"
533,ruiner,0,36.99,padrao,pc,"steam,windows"
534,this war of mine stories  season pass,80,2.89,dlc,pc,"steam,windows,linux,mac"
535,euro truck simulator 2  pirate paint jobs pack,0,4.29,dlc,pc,"steam,windows,linux,mac"
536,for honor starter edition,0,44.99,padrao,pc,windows
537,assassins creed origins  gold edition,0,299.99,padrao,pc,windows
538,absolver,0,55.99,padrao,pc,"steam,windows"
539,the wolf among us,50,14.49,padrao,pc,"steam,windows"
540,aragami shadow edition,0,57.68,pacote,pc,"steam,windows,linux,mac"
541,lego star wars iii  the clone wars,0,37.99,padrao,pc,"steam,windows"
542,blair witch,75,14.49,padrao,pc,"steam,windows"
543,xbox game pass ultimate  3 meses,0,134.99,padrao,"pc,console","windows,xbox"
544,snk 40th anniversary collection,0,15.99,padrao,pc,"steam,windows"
545,injustice gods among us ultimate edition,80,17.99,padrao,pc,"steam,windows"
546,street fighter 6,10,223.99,prevenda,pc,"steam,windows"
547,distortions,0,9.99,padrao,pc,"steam,windows"
548,monster hunter rise  deluxe edition,0,168.25,padrao,pc,"steam,windows"
549,planet zoo  deluxe edition,0,108.99,padrao,pc,"steam,windows"
550,batman arkham asylum goty,80,17.99,padrao,pc,"steam,windows"
551,watch_dogs 2,0,149.99,padrao,pc,windows
552,arma 3 tacops mission pack,0,19.0,dlc,pc,"steam,windows"
553,arma 3 apex,0,56.99,dlc,pc,"steam,windows"
554,darkest dungeon soundtrack,0,19.99,dlc,pc,"steam,windows,linux,mac"
555,alone in the dark,0,19.99,padrao,pc,"steam,windows"
556,max payne 2 the fall of max payne,0,14.99,padrao,pc,"steam,windows"
557,metal gear survive,0,79.99,padrao,pc,"steam,windows"
558,crash time 3,80,4.8,padrao,pc,"steam,windows"
559,god eater 2 rage burst,0,129.99,padrao,pc,"steam,windows"
560,worms w.m.d,80,15.98,padrao,pc,"steam,windows"
561,hatred,0,17.99,padrao,pc,"steam,windows"
562,grand theft auto v premium online edition,0,82.42,pacote,pc,windows
563,thehunter call of the wild  cuatro colinas game reserve,0,15.99,dlc,pc,"steam,windows"
564,euro truck simulator 2  christmas paint jobs pack,0,4.49,dlc,pc,"steam,windows,linux"
565,contra anniversary collection,0,79.0,padrao,pc,"steam,windows"
566,seed hunter,0,18.59,padrao,pc,"steam,windows"
567,hifi rush,0,109.0,padrao,pc,"steam,windows"
568,splatoon 3,0,299.0,padrao,console,nintendo
569,mists of noyah,0,27.99,padrao,pc,"steam,windows"
570,lego star wars the skywalker saga,60,79.99,padrao,pc,"steam,windows"
571,world war z aftermath,0,75.49,padrao,pc,"steam,windows"
572,sunset overdrive,0,37.99,padrao,pc,"steam,windows"
573,the forgotten city,0,55.99,padrao,pc,"steam,windows"
574,yugioh! legacy of the duelist,0,39.0,padrao,pc,"steam,windows"
575,wreckfest,0,82.45,padrao,pc,"steam,windows"
576,aer memories of old,0,27.99,padrao,pc,"steam,windows,linux,mac"
577,redout enhanced edition,0,37.99,padrao,pc,"steam,windows"
578,destroy all humans!,0,69.95,padrao,pc,"steam,windows"
579,sebastien loeb rally evo,0,55.99,padrao,pc,"steam,windows"
580,the franz kafka videogame,0,14.49,padrao,pc,"steam,windows"
581,donkey kong country tropical freeze,0,299.0,padrao,console,nintendo
582,scania truck driving simulator,0,19.99,padrao,pc,"steam,windows"
583,dragon ball xenoverse  bundle,0,125.98,pacote,pc,"steam,windows"
584,thehunter call of the wild  mississippi acres preserve,0,15.99,dlc,pc,"steam,windows"
585,conan exiles  people of the dragon pack,0,24.99,dlc,pc,"steam,windows"
586,monster hunter world iceborne  deluxe edition,0,109.99,dlc,pc,"steam,windows"
587,tom clancys ghost recon breakpoint  deluxe edition,0,209.99,padrao,pc,windows
588,the survivalists  deluxe edition,75,18.74,padrao,pc,"steam,windows"
589,metroid prime remastered,0,199.0,padrao,console,nintendo
590,moonscars,20,47.99,padrao,pc,"steam,windows"
591,marvels spiderman remastered,0,249.9,padrao,pc,"steam,windows"
592,planet zoo,0,99.99,padrao,pc,"steam,windows"
593,hamsterdam,0,10.89,padrao,pc,"steam,windows,mac"
594,kao the kangaroo round 2,0,4.49,padrao,pc,"steam,windows"
595,marvel vs. capcom infinite,0,89.99,padrao,pc,"steam,windows"
596,the escapists 2,75,14.99,padrao,pc,"steam,windows,linux,mac"
