,nome,porcentagem_desconto,preco,tipo,plataforma,sistema
89,the end,0,10.99,padrao,pc,"steam,windows"
90,lego indiana jones 2 the adventure continues,0,37.99,padrao,pc,"steam,windows"
91,unsighted,0,49.99,padrao,pc,"steam,windows"
92,immortals fenyx rising,0,249.9,padrao,pc,windows
93,dead rising 2 off the record,0,39.99,padrao,pc,"steam,windows"
94,thehunter call of the wild  medvedtaiga,0,15.99,dlc,pc,"steam,windows"
95,tom clancys ghost recon breakpoint  gold edition,0,299.0,padrao,pc,windows
96,r$10 playstation store  cartao presente digital,0,10.0,padrao,console,playstation
97,resident evil 2  biohazard re2,0,89.99,padrao,pc,"steam,windows"
98,sid meiers civilization v brave new world,0,44.99,dlc,pc,"steam,mac"
99,gift card digital roblox r$100,0,100.0,padrao,"pc,mobile","windows,ios,android"
100,metal gear solid v the definitive experience,0,98.99,padrao,pc,"steam,windows"
101,r$400 playstation store  cartao presente digital,0,400.0,padrao,console,playstation
102,dragons dogma dark arisen,0,74.99,padrao,pc,"steam,windows"
103,r$60 playstation store  cartao presente digital,0,60.0,padrao,console,playstation
104,middleearth shadow of war  expansion pass,94,3.5,dlc,pc,"steam,windows"
105,r$70 playstation store  cartao presente digital,0,70.0,padrao,console,playstation
106,resident evil 4,8,228.99,padrao,pc,"steam,windows"
107,devil may cry 5 + vergil,0,89.99,padrao,pc,"steam,windows"
108,soulcalibur vi  deluxe edition,0,259.9,padrao,pc,"steam,windows"
109,castlevania lords of shadow 2,0,72.99,padrao,pc,"steam,windows"
110,euro truck simulator 2  vive la france,0,44.99,dlc,pc,"steam,windows,linux"
111,star wars the force unleashed ii,0,37.99,padrao,pc,"steam,windows"
112,riot points  gift card digital 20 reais,0,20.0,padrao,pc,"windows,mac"
113,the last of us  part i,10,223.99,padrao,pc,"steam,windows"
114,metal gear solid v ground zeroes,0,36.99,padrao,pc,"steam,windows"
115,ultra street fighter iv,0,59.99,padrao,pc,"steam,windows"
116,mortal kombat x  kombat pack 2,85,5.23,dlc,pc,"steam,windows"
117,captain tsubasa rise of new champions,0,179.9,padrao,pc,"steam,windows"
118,naruto shippuden ultimate ninja storm 4  season pass,0,49.9,dlc,pc,"steam,windows"
119,enigma do medo  bundle do medo,12,105.0,prevenda,pc,"steam,windows"
120,shadow warrior 2,0,72.99,padrao,pc,"steam,windows"
121,lego marvel super heroes 2  season pass,90,2.99,dlc,pc,"steam,windows"
122,graveyard keeper  stranger sins,60,7.99,dlc,pc,"steam,windows,linux,mac"
123,euro truck simulator 2  viking legends,0,4.49,dlc,pc,"steam,windows,linux"
124,naruto to boruto  shinobi striker deluxe edition,0,239.9,padrao,pc,"steam,windows"
125,force of nature 2 ghost keeper,0,30.99,padrao,pc,"steam,windows"
126,euro truck simulator 2  road to the black sea,0,44.99,dlc,pc,"steam,windows,linux"
127,dragon ball fighterz  fighterz edition,0,239.9,padrao,pc,"steam,windows"
128,children of morta,0,47.49,padrao,pc,"steam,windows,mac"
129,dead rising 3  apocalypse edition,0,84.99,padrao,pc,"steam,windows"
130,tales of arise,0,249.99,padrao,pc,"steam,windows"
131,dead rising 2,0,34.99,padrao,pc,"steam,windows"
132,far cry 3,0,59.99,padrao,pc,windows
133,graveyard keeper  game of crone,60,8.27,dlc,pc,"steam,windows,linux,mac"
134,assassins creed syndicate,0,89.99,padrao,pc,windows
135,my hero ones justice 2 deluxe edition,0,229.9,padrao,pc,"steam,windows"
136,digimon story cyber sleuth complete edition,0,129.99,padrao,pc,"steam,windows"
137,darksiders genesis,0,57.99,padrao,pc,"steam,windows"
138,watch dogs legion,0,249.99,padrao,pc,windows
139,mario party superstars,0,299.0,padrao,console,nintendo
140,carrion,0,37.99,padrao,pc,"steam,windows,linux,mac"
141,urban trial playground,0,14.49,padrao,pc,"steam,windows,linux,mac"
142,watch dogs  complete edition,0,149.99,pacote,pc,windows
143,thehunter call of the wild  assorted sidearms pack,0,8.69,dlc,pc,"steam,windows"
144,thehunter call of the wild  yukon valley,0,15.99,dlc,pc,"steam,windows"
145,american truck simulator  washington,0,31.99,dlc,pc,"steam,windows,linux,mac"
146,castlevania advance collection,0,99.0,padrao,pc,"steam,windows"
147,god eater 3,80,49.98,padrao,pc,"steam,windows"
148,witch it,0,59.99,padrao,pc,"steam,windows"
149,returnal,14,214.91,padrao,pc,"steam,windows"
150,nintendo  gift card digital 50 reais,0,50.0,padrao,console,nintendo
151,f.e.a.r. 3,94,4.5,padrao,pc,"steam,windows"
152,castlevania lord of shadows  mirror of fate hd,0,27.99,padrao,pc,"steam,windows"
153,lego star wars the force awakens  deluxe edition,94,6.5,pacote,pc,"steam,windows"
154,my friend pedro,0,37.99,padrao,pc,"steam,windows"
155,devil may cry hd collection,0,69.99,padrao,pc,"steam,windows"
156,gta online great white shark cash card,0,35.99,padrao,pc,windows
157,the legend of heroes trails in the sky sc,0,69.99,padrao,pc,"steam,windows"
158,motogp 21,0,93.99,padrao,pc,"steam,windows"
159,lego marvel vingadores deluxe edition,94,6.5,padrao,pc,"steam,windows"
160,r$50 playstation store  cartao presente digital,0,50.0,padrao,console,playstation
161,street fighter v,0,39.99,padrao,pc,"steam,windows"
162,dragon ball fighterz  fighterz pass,0,89.9,dlc,pc,"steam,windows"
163,men of war assault squad 2  war chest edition,0,139.32,padrao,pc,"steam,windows"
164,xbox  cartao presente digital 15 reais,0,15.0,padrao,"pc,console","windows,xbox"
165,dragon ball z kakarot  deluxe edition,0,249.9,padrao,pc,"steam,windows"
166,quantum break,0,72.99,padrao,pc,"steam,windows"
167,naruto shippuden ultimate ninja storm revolution,0,55.99,padrao,pc,"steam,windows"
168,riot points  gift card digital 50 reais,0,50.0,padrao,pc,"windows,mac"
169,xbox  cartao presente digital 100 reais,0,100.0,padrao,"pc,console","windows,xbox"
170,pc building simulator,0,37.99,padrao,pc,"steam,windows"
171,ducktales remastered,0,29.99,padrao,pc,"steam,windows"
172,euro truck simulator 2  scandinavia,0,44.99,dlc,pc,"steam,windows,linux,mac"
173,enslaved odyssey to the west premium edition,0,34.99,padrao,pc,"steam,windows"
174,dragon ball fighterz,0,149.9,padrao,pc,"steam,windows"
175,mega man 11,0,69.99,padrao,pc,"steam,windows"
176,watch dogs legion  deluxe edition,0,274.99,padrao,pc,windows
177,11.500 avacoins + 50 gemas  avakin life,0,21.59,padrao,mobile,"ios,android"
178,forager,0,37.99,padrao,pc,"steam,windows"
179,horizon chase turbo,0,49.99,padrao,pc,"steam,windows"
180,lego batman 3 beyond gotham,94,4.5,padrao,pc,"steam,windows"
181,metal gear rising  revengeance,0,49.99,padrao,pc,"steam,windows"
182,monster hunter world iceborne master edition deluxe,0,149.99,padrao,pc,"steam,windows"
183,star wars  dark forces,0,12.39,padrao,pc,"steam,windows,mac"
184,hogwarts legacy  deluxe edition,0,299.99,padrao,pc,"steam,windows"
185,darksiders ii deathinitive edition,0,55.99,padrao,pc,"steam,windows"
186,far cry 6  game of the year edition,0,399.99,padrao,pc,windows
187,tekken 7  definitive edition,0,529.59,padrao,pc,"steam,windows"
188,tom clancys ghost recon wildlands ultimate edition,0,329.99,padrao,pc,windows
189,worms revolution gold edition,85,6.89,padrao,pc,"steam,windows"
190,assassins creed odyssey,0,179.99,padrao,pc,windows
191,far cry primal digital apex edition,0,104.99,padrao,pc,windows
192,pongo,0,2.29,padrao,pc,"steam,windows"
193,serial cleaner,0,27.99,padrao,pc,"steam,windows,linux,mac"
194,devils hunt,0,46.99,padrao,pc,"steam,windows"
195,one piece pirate warriors 3,0,79.99,padrao,pc,"steam,windows"
196,arma 3 contact,0,49.99,dlc,pc,"steam,windows"
197,thehunter call of the wild  silver ridge peaks,0,15.99,dlc,pc,"steam,windows"
198,free fire  610 diamantes + 10 de bonus,0,20.0,padrao,mobile,"ios,android"
199,project wingman,0,47.49,padrao,pc,"steam,windows"
200,biomutant,0,75.0,padrao,pc,"steam,windows"
201,luigis mansion 3,0,299.0,padrao,console,nintendo
202,squad,0,93.99,padrao,pc,"steam,windows"
203,metal gear solid v the phantom pain,0,129.99,padrao,pc,"steam,windows"
204,them and us,50,26.99,padrao,pc,"steam,windows"
205,scooby doo!  looney tunes cartoon universe adventure,94,4.5,padrao,pc,"steam,windows"
206,dayz,50,59.99,padrao,pc,"steam,windows"
